target,monthly_income,time_of_month,savings,guests
3,6019,12,medium,0
1,3306,30,low,1
5,9397,16,high,0
3,5404,7,medium,0
3,5177,29,medium,0
1,2225,1,low,0
2,4624,23,medium,0
1,2868,25,low,0
1,1881,1,low,1
1,2453,9,low,0
1,3010,1,low,0
2,4374,21,medium,0
2,3780,11,low,0
1,3054,5,low,0
2,3784,28,low,0
2,4990,15,medium,0
4,7953,5,high,0
3,5628,21,medium,1
3,5877,13,medium,0
2,3493,23,low,0
3,5567,20,medium,0
1,2733,31,low,0
1,2137,30,low,1
3,6052,12,medium,1
3,6530,27,medium,0
4,7434,31,high,0
3,6473,20,medium,0
1,2972,14,low,0
4,6910,13,medium,0
4,7304,10,high,0
1,2411,8,low,1
5,8927,19,high,0
5,9948,22,high,0
2,3992,28,low,0
1,2567,22,low,0
1,3083,12,low,0
1,2021,25,low,0
5,8396,23,high,0
5,8594,14,high,0
3,6583,1,medium,0
3,5137,3,medium,0
3,5193,19,medium,1
1,1684,26,low,0
4,7613,10,high,0
4,8253,23,high,0
3,6513,4,medium,1
5,9544,26,high,0
3,6167,24,medium,0
2,4176,9,medium,0
3,6073,9,medium,0
1,2936,29,low,0
2,4445,24,medium,0
1,2120,17,low,0
5,9774,25,high,0
2,3918,3,low,0
2,4952,2,medium,0
3,5583,5,medium,0
3,6035,3,medium,0
2,4891,14,medium,0
4,7276,22,high,0
5,8812,25,high,0
2,3782,29,low,0
1,2358,22,low,0
4,7212,28,high,0
5,8553,15,high,0
3,5968,26,medium,0
3,6611,30,medium,0
3,5876,14,medium,0
1,1303,30,low,0
1,2400,29,low,0
3,5776,19,medium,1
1,1508,28,low,0
3,5486,4,medium,0
2,4019,15,medium,0
4,6790,27,medium,0
1,2589,14,low,0
2,4722,11,medium,0
4,7261,18,high,0
1,1341,27,low,0
2,3338,3,low,0
1,2607,22,low,0
3,5004,31,medium,0
5,8806,12,high,0
3,6418,8,medium,0
4,7464,17,high,0
4,7485,24,high,0
3,5044,2,medium,0
3,6098,13,medium,1
3,6338,4,medium,0
1,2963,14,low,0
4,8012,8,high,0
3,5378,16,medium,0
1,2892,7,low,0
2,4774,18,medium,0
3,5544,13,medium,0
2,4146,24,medium,0
1,2968,10,low,0
2,3744,20,low,1
2,4265,4,medium,0
4,8073,30,high,0
3,5696,11,medium,0
4,7205,30,high,0
4,7689,16,high,0
4,7794,5,high,0
3,6259,21,medium,0
1,2003,25,low,0
4,7546,23,high,0
4,7836,19,high,0
3,5471,28,medium,0
5,8385,29,high,0
4,8221,9,high,0
5,9529,6,high,0
1,1531,21,low,0
4,7367,24,high,0
2,3649,4,low,0
2,4242,30,medium,0
5,8557,2,high,0
5,8491,4,high,0
2,4052,24,medium,0
5,8929,6,high,0
5,8529,31,high,0
5,9642,19,high,0
1,1424,28,low,0
5,8439,20,high,0
5,8621,27,high,0
5,9418,4,high,0
4,7380,14,high,0
5,8662,24,high,0
5,9220,31,high,0
1,1059,7,low,0
3,5282,10,medium,0
1,3301,31,low,0
1,3166,31,low,0
3,5541,5,medium,0
1,2642,13,low,0
3,6527,21,medium,0
4,6805,28,medium,0
2,4758,21,medium,0
2,4944,21,medium,0
2,3510,4,low,0
2,4543,17,medium,0
2,4877,3,medium,1
3,5523,24,medium,0
3,5235,2,medium,0
4,7468,8,high,0
1,2912,10,low,0
2,4954,7,medium,0
5,8864,26,high,0
1,2345,2,low,0
3,6507,6,medium,1
4,8139,13,high,0
4,8315,8,high,0
5,9811,10,high,0
4,6699,8,medium,0
1,2322,14,low,1
1,3139,6,low,0
2,3972,6,low,0
5,8728,15,high,0
5,9950,19,high,0
4,7737,10,high,0
4,7248,6,high,0
4,7198,3,high,0
3,5002,21,medium,0
2,4234,26,medium,0
1,1294,2,low,0
5,8415,26,high,0
2,4341,31,medium,0
1,1610,26,low,0
4,7956,23,high,0
5,9601,31,high,0
2,4135,17,medium,0
3,6486,16,medium,0
3,5667,16,medium,0
1,2759,11,low,0
1,2828,13,low,0
3,5580,3,medium,0
5,9895,26,high,0
2,3517,22,low,0
4,7912,17,high,0
5,8822,25,high,0
3,5473,16,medium,0
4,7727,13,high,0
3,5402,17,medium,0
5,9797,30,high,0
2,3779,6,low,1
5,9112,24,high,0
2,4904,14,medium,0
2,4402,27,medium,0
5,8937,14,high,0
4,8168,6,high,0
1,1563,4,low,1
5,8941,31,high,0
4,7013,19,high,0
1,2050,6,low,0
5,9915,30,high,0
1,2773,3,low,0
1,1401,20,low,0
5,8606,27,high,0
3,5930,23,medium,1
2,4306,24,medium,0
5,8991,7,high,0
4,7126,22,high,0
1,2934,25,low,0
1,1006,27,low,0
5,9340,28,high,0
2,4957,14,medium,0
2,3664,10,low,0
2,4981,1,medium,0
1,2655,30,low,0
1,1576,23,low,0
2,4962,20,medium,0
1,1644,25,low,0
3,5958,2,medium,0
1,2636,30,low,0
3,5607,17,medium,0
1,1387,27,low,0
5,9159,13,high,0
3,6239,30,medium,0
4,7163,28,high,1
5,8688,24,high,1
5,9923,17,high,1
2,4500,9,medium,0
3,5136,24,medium,1
2,4644,31,medium,0
5,9808,23,high,1
1,1354,11,low,0
2,3421,17,low,0
5,8821,7,high,0
5,9592,4,high,1
2,4419,14,medium,0
3,5256,13,medium,0
1,1740,16,low,0
4,7810,26,high,0
2,3808,9,low,0
4,7569,24,high,0
5,8378,8,high,0
2,4940,1,medium,0
3,5155,21,medium,0
5,9817,4,high,0
3,4998,29,medium,0
5,9532,5,high,0
3,5463,18,medium,0
3,5070,3,medium,0
2,4754,20,medium,0
5,8674,26,high,0
5,9617,11,high,0
3,5191,29,medium,0
3,6392,14,medium,0
1,2562,8,low,0
3,6020,5,medium,1
3,5954,15,medium,0
3,5092,16,medium,0
1,2910,22,low,1
2,4862,15,medium,0
1,1471,6,low,0
1,2529,30,low,0
3,5965,22,medium,0
3,5523,2,medium,0
4,8007,29,high,0
5,8555,12,high,0
5,9104,11,high,0
3,5767,11,medium,1
2,3435,1,low,0
1,2164,31,low,0
4,6762,15,medium,0
3,5354,19,medium,0
1,3084,21,low,0
4,7339,15,high,0
2,4476,16,medium,0
2,3423,10,low,0
1,1992,5,low,0
1,2914,19,low,0
4,6863,31,medium,0
2,4098,30,medium,0
4,7750,25,high,0
1,1209,1,low,0
1,2305,20,low,0
4,7605,28,high,0
1,1223,3,low,0
1,2551,31,low,0
4,7659,20,high,0
5,9705,26,high,0
1,1804,22,low,1
3,5667,12,medium,0
3,6370,15,medium,0
1,2578,31,low,0
4,7845,19,high,0
3,5009,9,medium,0
5,9582,7,high,0
5,9565,27,high,0
1,2629,25,low,0
5,9980,14,high,0
5,8531,8,high,0
1,3190,24,low,0
3,6439,30,medium,0
4,7164,20,high,0
2,4579,26,medium,0
3,5965,21,medium,0
5,9024,13,high,0
2,4940,25,medium,1
4,6741,12,medium,0
1,2388,9,low,0
4,7600,27,high,1
4,8088,18,high,0
1,2597,11,low,0
1,2054,16,low,0
1,1109,24,low,1
4,7164,31,high,0
2,4797,13,medium,0
1,2941,12,low,0
1,2900,21,low,0
4,7445,25,high,0
4,7015,3,high,0
3,6064,20,medium,1
3,6174,6,medium,0
4,7929,18,high,0
4,7881,17,high,0
5,8835,21,high,0
5,9665,11,high,0
2,3388,9,low,0
4,7109,9,high,0
3,6275,7,medium,0
2,4468,27,medium,0
4,7218,4,high,0
1,3018,2,low,0
1,1352,11,low,0
2,3447,4,low,0
1,1905,27,low,1
1,2516,16,low,1
5,9087,17,high,0
3,6547,23,medium,0
1,3085,11,low,1
1,2555,6,low,1
3,5348,16,medium,0
3,6385,24,medium,0
1,1639,8,low,0
4,7446,23,high,0
3,5643,19,medium,0
3,5727,14,medium,0
4,7539,2,high,1
2,4507,18,medium,0
1,1383,29,low,1
4,7855,3,high,0
5,8707,20,high,0
3,6021,6,medium,0
4,8259,24,high,0
5,8882,3,high,1
2,3871,4,low,0
5,9109,22,high,0
2,3390,8,low,0
1,2451,3,low,0
1,1595,21,low,0
2,4571,10,medium,0
2,3756,18,low,0
5,8476,5,high,0
5,9099,28,high,1
5,9747,25,high,0
1,1532,22,low,0
5,9471,25,high,0
2,3965,7,low,0
1,1268,1,low,0
4,8027,12,high,0
4,7378,31,high,0
3,5430,29,medium,1
4,7770,25,high,0
5,9917,11,high,0
1,3297,23,low,0
2,4713,30,medium,0
2,3668,27,low,0
3,5241,18,medium,0
4,6836,11,medium,0
5,9227,22,high,0
3,5319,5,medium,0
1,2374,10,low,0
1,2583,21,low,0
3,5187,1,medium,0
4,8147,16,high,0
1,3246,12,low,0
3,5959,24,medium,0
5,9668,28,high,0
5,9623,22,high,0
5,9266,29,high,0
3,6026,20,medium,0
1,2024,13,low,0
1,2879,30,low,0
4,8162,20,high,0
5,8478,9,high,0
2,3364,18,low,0
4,7293,19,high,0
4,8187,25,high,0
1,2763,1,low,0
1,1437,14,low,0
3,5598,16,medium,1
4,7655,12,high,0
2,3345,2,low,0
3,5748,7,medium,0
2,3850,18,low,0
1,2975,19,low,0
4,7348,3,high,0
4,7776,1,high,0
3,5559,23,medium,0
2,4816,3,medium,0
1,2467,16,low,0
3,5895,3,medium,0
3,6383,17,medium,0
5,9491,28,high,0
2,3786,9,low,0
5,8716,30,high,0
4,8069,21,high,0
1,1561,31,low,0
1,1322,26,low,0
1,2611,10,low,0
5,8379,15,high,0
1,1477,7,low,0
5,9523,16,high,0
5,8729,27,high,0
2,3757,17,low,1
4,8238,4,high,0
2,4508,24,medium,1
1,1994,27,low,0
4,7764,27,high,0
4,6916,22,medium,0
4,7776,9,high,0
2,3858,10,low,0
5,9015,12,high,0
2,4932,7,medium,0
1,2560,12,low,0
5,8692,17,high,0
5,9709,21,high,0
4,7573,4,high,0
1,2313,15,low,1
1,2507,10,low,0
3,6358,1,medium,1
3,5443,2,medium,1
5,9296,10,high,0
1,1048,18,low,1
3,5654,15,medium,0
4,7631,3,high,0
1,2104,10,low,0
1,2081,5,low,0
5,8874,15,high,0
5,8836,21,high,0
1,1619,19,low,0
3,6367,10,medium,0
4,6667,29,medium,0
4,7125,28,high,0
1,1101,19,low,0
2,4148,22,medium,0
5,9635,7,high,0
3,5017,6,medium,0
5,9159,5,high,1
1,1226,18,low,0
1,2812,27,low,0
1,1504,24,low,0
4,7851,1,high,0
1,3101,13,low,1
3,6304,21,medium,0
2,3398,23,low,0
5,9984,14,high,0
2,3399,29,low,0
1,2050,29,low,0
2,4476,11,medium,0
2,3888,15,low,0
4,7350,11,high,0
4,7382,3,high,0
4,7834,16,high,0
5,9866,28,high,0
3,5262,4,medium,0
3,5827,9,medium,1
5,8394,7,high,0
4,7286,8,high,0
5,9439,25,high,0
4,7852,25,high,0
5,9629,31,high,0
5,9437,9,high,1
2,3812,12,low,0
5,8586,21,high,0
1,2231,30,low,0
1,3250,2,low,0
5,8869,18,high,0
2,4289,8,medium,0
5,9365,6,high,0
1,2624,7,low,0
4,7369,10,high,0
4,7254,13,high,1
1,2776,29,low,0
4,7953,5,high,0
5,9148,4,high,0
4,7675,3,high,0
2,3430,26,low,0
5,8761,9,high,0
5,9170,13,high,1
1,3034,10,low,0
3,5557,14,medium,0
1,2325,22,low,0
1,2559,31,low,0
1,1746,6,low,0
2,3388,8,low,0
5,9738,29,high,0
1,2499,31,low,0
3,6055,9,medium,0
1,1102,16,low,0
3,6416,13,medium,0
4,7435,25,high,0
3,6351,14,medium,1
1,1626,11,low,0
2,4900,29,medium,0
1,2063,11,low,0
5,8523,19,high,0
4,7272,12,high,0
2,3950,7,low,0
1,2316,11,low,1
1,1624,11,low,1
2,3406,2,low,0
4,7091,23,high,0
5,9295,16,high,0
5,8735,1,high,0
1,1172,28,low,0
2,4914,15,medium,0
2,4588,5,medium,0
3,5690,26,medium,0
2,4202,23,medium,0
1,1576,25,low,0
1,1679,6,low,0
4,7270,26,high,0
2,4293,27,medium,0
4,6837,21,medium,0
4,8192,17,high,0
1,1688,5,low,0
3,5917,11,medium,1
2,3987,10,low,0
2,3913,30,low,0
2,4276,5,medium,1
4,7269,16,high,0
2,4640,28,medium,0
2,3774,11,low,0
2,4036,22,medium,0
3,5931,25,medium,0
4,7166,8,high,0
1,2458,13,low,0
1,2479,31,low,0
1,3270,20,low,0
5,8674,7,high,0
2,4524,23,medium,0
3,6617,6,medium,0
3,5553,5,medium,0
4,7028,15,high,0
3,6413,28,medium,0
4,6935,28,medium,0
1,1322,20,low,1
1,3121,20,low,0
3,5743,4,medium,0
1,1382,16,low,0
4,7234,20,high,0
1,1678,23,low,0
3,6578,21,medium,0
1,3141,30,low,0
5,9886,8,high,0
2,4419,8,medium,0
4,6724,21,medium,0
1,1918,2,low,0
3,5570,5,medium,0
2,3398,18,low,0
2,3904,11,low,1
2,4623,23,medium,0
5,9048,26,high,0
2,4123,12,medium,0
4,7643,10,high,0
5,8552,17,high,0
1,3206,25,low,0
4,7272,1,high,0
3,5631,14,medium,0
1,1147,26,low,0
3,5615,27,medium,0
3,5309,16,medium,0
4,8067,2,high,0
1,2608,6,low,0
1,2372,14,low,0
4,7336,23,high,0
1,1974,10,low,0
2,3642,31,low,0
3,5721,2,medium,1
3,6257,23,medium,0
1,3260,24,low,1
2,4639,21,medium,0
1,2427,25,low,0
1,3085,15,low,0
1,1295,31,low,0
5,8894,11,high,0
1,2246,27,low,0
2,4448,1,medium,0
3,5801,27,medium,0
4,7954,8,high,0
5,8458,27,high,0
2,3495,9,low,0
2,4041,15,medium,0
1,1998,26,low,0
1,1081,19,low,0
1,1457,30,low,0
3,5437,27,medium,0
4,6748,17,medium,0
1,1581,16,low,0
4,7779,8,high,0
2,4745,26,medium,0
1,2352,31,low,0
3,5711,14,medium,0
4,7115,25,high,0
4,6803,26,medium,0
1,1055,14,low,0
1,2408,2,low,0
3,5727,13,medium,0
4,7345,5,high,1
1,1374,12,low,0
5,9058,5,high,0
1,2225,15,low,0
4,6892,15,medium,0
2,3339,31,low,0
1,2737,20,low,0
1,1881,1,low,0
3,6503,3,medium,0
5,9950,30,high,0
2,4469,1,medium,0
4,7774,8,high,0
4,7767,2,high,0
5,8764,25,high,0
2,4355,19,medium,0
5,9385,12,high,0
3,5325,12,medium,0
5,9049,14,high,0
5,9895,31,high,0
3,5000,23,medium,1
2,4413,29,medium,0
2,4175,24,medium,0
4,6815,11,medium,0
2,4757,6,medium,1
2,4140,2,medium,0
1,1298,29,low,0
4,7114,26,high,1
4,7810,19,high,0
2,3535,1,low,0
1,2569,12,low,0
1,3137,3,low,1
4,7743,22,high,0
1,3167,5,low,0
3,6105,9,medium,0
2,3401,31,low,0
1,2105,13,low,0
2,4520,3,medium,0
3,6432,6,medium,0
5,9256,17,high,0
4,8058,7,high,0
2,4339,6,medium,0
4,7702,8,high,1
1,3049,6,low,1
1,2845,23,low,0
2,3715,8,low,0
4,7909,8,high,0
4,7925,1,high,0
2,4358,16,medium,0
4,8097,26,high,1
4,7023,20,high,0
1,3098,10,low,1
4,8324,29,high,0
1,1391,6,low,0
5,9879,25,high,0
4,7534,12,high,0
1,3015,11,low,0
3,6135,2,medium,1
2,4271,10,medium,0
2,3427,20,low,0
4,7073,27,high,1
3,6541,26,medium,0
1,1556,5,low,0
2,3526,30,low,0
2,3574,25,low,0
2,4608,13,medium,1
5,8902,5,high,0
4,6983,30,medium,0
2,4407,15,medium,0
3,6191,21,medium,0
3,5412,4,medium,0
3,6537,6,medium,0
1,1916,28,low,0
5,9405,29,high,1
4,7898,31,high,0
1,2793,6,low,0
5,9635,10,high,0
3,6174,12,medium,1
2,4334,17,medium,0
1,3269,27,low,0
2,3914,25,low,0
4,8299,5,high,0
2,4543,21,medium,0
5,8394,28,high,0
1,1540,19,low,0
2,3595,12,low,0
3,5594,4,medium,0
5,8993,28,high,0
3,6613,17,medium,0
1,2411,6,low,0
2,3453,4,low,1
5,8371,22,high,0
5,9086,14,high,0
3,5708,7,medium,0
3,6662,26,medium,0
2,4006,14,medium,0
3,6466,21,medium,0
3,6484,19,medium,0
5,8964,10,high,1
3,6016,1,medium,0
4,8060,31,high,0
2,4733,9,medium,0
1,1117,25,low,0
1,2063,4,low,0
1,2935,16,low,0
1,2612,9,low,0
3,5605,21,medium,0
1,2571,3,low,1
3,6453,26,medium,0
1,3127,19,low,0
4,8049,23,high,0
4,6869,27,medium,0
2,3783,29,low,0
5,9513,15,high,0
1,1058,24,low,1
5,9296,2,high,0
5,8818,30,high,0
2,4492,3,medium,0
2,4397,30,medium,0
4,7775,4,high,0
1,1639,11,low,0
5,9120,5,high,0
2,4237,25,medium,1
5,9000,26,high,1
1,2211,9,low,0
5,8672,21,high,0
3,5275,8,medium,1
1,3074,20,low,0
1,1484,23,low,0
1,1340,26,low,1
3,5780,9,medium,0
2,3630,17,low,0
3,5289,27,medium,0
2,3556,24,low,0
3,5256,9,medium,0
4,6693,17,medium,0
2,3812,22,low,0
1,1980,8,low,0
1,1455,12,low,0
5,9197,24,high,1
1,1363,15,low,0
3,5261,4,medium,0
1,2605,8,low,0
5,8483,28,high,1
2,3543,14,low,0
3,5383,24,medium,0
3,5628,8,medium,0
5,8413,17,high,0
4,7138,1,high,0
3,5421,12,medium,0
2,3707,29,low,0
5,9630,14,high,0
1,2596,11,low,1
2,4366,2,medium,1
2,4696,25,medium,0
3,5701,29,medium,0
1,3227,2,low,0
1,3257,2,low,0
1,2989,9,low,1
2,3862,19,low,0
5,8640,24,high,0
3,5335,23,medium,0
4,8096,12,high,1
5,9320,24,high,0
5,9703,25,high,0
1,1643,26,low,0
1,1170,24,low,0
1,2055,20,low,0
3,6617,28,medium,0
2,4403,14,medium,0
1,3137,13,low,1
1,2388,17,low,0
1,1243,3,low,0
5,9367,21,high,0
3,5961,3,medium,0
4,6690,6,medium,0
1,1664,30,low,0
2,3581,14,low,0
1,3000,19,low,1
4,7208,22,high,0
5,9193,15,high,0
4,6934,10,medium,0
2,4336,16,medium,0
5,9087,6,high,0
3,6508,1,medium,0
4,8059,26,high,0
1,2733,21,low,0
4,7291,24,high,0
5,9760,27,high,0
2,3842,31,low,1
4,7354,4,high,0
3,5402,24,medium,0
5,9405,24,high,0
5,9757,29,high,0
5,8773,14,high,0
2,3604,29,low,0
5,9427,21,high,0
3,5272,7,medium,0
5,9197,22,high,0
3,6452,18,medium,0
2,3376,19,low,0
3,5648,28,medium,0
2,4931,26,medium,0
1,1276,19,low,1
4,7924,23,high,0
2,4418,2,medium,0
1,2580,1,low,0
2,4286,25,medium,0
1,2428,19,low,0
4,6836,28,medium,0
1,2846,3,low,0
1,2769,28,low,1
1,1283,3,low,0
5,9454,15,high,0
5,8631,22,high,0
2,3987,30,low,0
1,1170,25,low,0
4,7417,25,high,0
4,8221,14,high,0
3,5805,10,medium,0
1,3088,10,low,0
1,2922,26,low,0
1,1359,7,low,0
5,9003,23,high,1
2,3493,12,low,0
4,6945,2,medium,0
1,3230,5,low,0
3,5413,29,medium,0
1,1657,18,low,0
4,6947,16,medium,0
3,5671,13,medium,0
2,4275,21,medium,0
3,5214,8,medium,0
2,4060,15,medium,0
1,1829,1,low,0
2,3890,10,low,0
4,6807,26,medium,0
3,6319,15,medium,0
1,2021,9,low,0
1,2012,6,low,0
4,7594,28,high,0
4,7099,16,high,0
1,1642,19,low,0
2,3364,27,low,0
3,6388,19,medium,0
2,3579,14,low,0
1,2514,4,low,0
5,9105,21,high,0
3,5075,11,medium,0
3,6400,25,medium,0
5,9259,17,high,0
5,9824,30,high,0
3,6037,28,medium,0
4,7243,1,high,0
1,2608,6,low,0
1,2164,1,low,0
4,6844,17,medium,0
4,8208,3,high,0
2,4961,30,medium,0
2,4879,26,medium,0
3,5132,8,medium,0
5,8930,11,high,0
3,5945,20,medium,0
4,7685,24,high,0
1,3316,25,low,0
2,4636,17,medium,0
5,9753,21,high,0
3,5870,5,medium,0
3,5985,19,medium,0
2,4287,8,medium,0
2,3796,6,low,0
1,2885,15,low,0
1,3206,5,low,0
3,5041,22,medium,0
3,6180,10,medium,0
3,5688,17,medium,0
2,3454,17,low,0
1,1919,18,low,1
2,3635,25,low,0
5,9800,3,high,0
4,8141,8,high,0
1,2334,25,low,0
2,4233,1,medium,0
1,1305,28,low,0
4,7531,26,high,0
1,2717,13,low,0
1,1592,23,low,0
5,9677,31,high,0
3,5994,18,medium,0
3,6256,19,medium,0
3,5828,8,medium,0
2,4558,16,medium,0
5,9647,9,high,0
3,5127,7,medium,0
1,3115,3,low,0
3,5422,17,medium,0
5,9441,14,high,0
2,4169,19,medium,0
5,8647,8,high,0
1,2985,5,low,0
1,2056,8,low,0
1,1106,30,low,0
1,1458,15,low,0
2,3597,29,low,0
3,5144,20,medium,0
4,7901,22,high,0
2,3898,4,low,0
5,9659,17,high,0
4,8156,31,high,0
4,7387,20,high,0
5,8663,3,high,0
1,2215,3,low,0
5,9633,20,high,0
3,6374,17,medium,0
4,8234,9,high,0
1,1152,8,low,1
5,8824,21,high,1
5,8519,10,high,0
2,4813,29,medium,0
2,4950,12,medium,0
2,4700,28,medium,0
4,7219,10,high,0
1,2736,30,low,0
4,8222,22,high,0
5,9693,1,high,0
3,5673,7,medium,0
4,6963,25,medium,1
5,9720,9,high,0
4,7082,31,high,0
2,3831,2,low,0
3,5114,25,medium,0
5,8561,25,high,0
3,6204,2,medium,0
4,8151,19,high,0
2,3472,3,low,0
3,5974,27,medium,1
2,4113,13,medium,1
1,1363,8,low,0
1,1456,7,low,0
1,1976,22,low,0
2,4813,28,medium,0
3,5524,9,medium,0
3,5567,29,medium,0
2,3556,15,low,0
1,3159,19,low,0
1,1880,14,low,0
2,4298,22,medium,0
1,1048,5,low,0
1,2797,6,low,0
3,5896,4,medium,0
5,8482,21,high,0
4,6839,31,medium,0
5,8418,26,high,0
1,2025,7,low,0
4,7606,31,high,0
4,7142,10,high,0
2,4339,18,medium,0
4,6791,22,medium,0
2,4916,25,medium,0
1,2812,8,low,0
1,2939,6,low,0
5,9069,11,high,0
5,8421,20,high,0
3,5263,2,medium,0
3,6372,26,medium,0
2,3942,1,low,0
1,2436,11,low,0
5,9870,12,high,0
2,4490,23,medium,0
5,8369,20,high,0
4,6926,21,medium,0
1,1561,16,low,0
5,9877,23,high,0
2,3937,16,low,0
3,5704,30,medium,1
5,9764,13,high,0
5,9521,29,high,0
3,6213,13,medium,0
2,3485,25,low,1
5,9557,31,high,0
2,3340,26,low,0
5,9996,1,high,0
3,5553,30,medium,0
5,9906,24,high,0
5,9940,28,high,0
4,8040,5,high,0
4,8143,15,high,0
1,1971,25,low,0
3,5982,25,medium,0
5,8544,29,high,0
3,6659,9,medium,0
3,5346,24,medium,0
5,9915,2,high,0
1,2375,29,low,0
5,9901,21,high,0
3,5145,1,medium,0
4,8012,4,high,1
5,9072,16,high,0
2,3558,14,low,0
4,7950,9,high,0
1,1323,25,low,0
3,5237,9,medium,0
2,4778,23,medium,1
5,9460,27,high,0
4,7626,14,high,0
4,7293,19,high,0
4,7730,25,high,0
4,7848,26,high,0
4,6703,28,medium,0
2,4557,13,medium,0
1,1682,29,low,0
4,7149,23,high,0
4,6930,13,medium,0
1,3246,7,low,0
1,1818,18,low,1
3,6266,1,medium,0
1,1058,20,low,0
1,2915,19,low,0
5,9917,3,high,0
1,1896,22,low,1
5,9678,19,high,1
1,1557,28,low,0
2,3510,7,low,0
2,3345,25,low,0
3,5787,17,medium,0
4,8316,15,high,0
2,4015,18,medium,0
4,7680,17,high,0
4,7692,9,high,0
1,2008,21,low,0
4,7324,3,high,0
3,6425,25,medium,0
5,9848,27,high,0
1,1986,10,low,0
5,9491,13,high,0
1,1636,5,low,0
4,7677,1,high,0
1,2902,22,low,0
2,3430,16,low,1
3,5070,10,medium,0
5,9689,11,high,0
4,7424,21,high,0
1,2002,1,low,0
2,4264,15,medium,0
3,4998,6,medium,0
3,6164,20,medium,0
4,7007,9,high,0
4,7270,1,high,0
1,3214,5,low,1
3,6574,30,medium,0
3,6174,24,medium,0
3,5422,9,medium,0
3,5733,4,medium,0
3,6659,3,medium,0
4,7318,23,high,0
5,8865,3,high,0
4,6854,29,medium,0
1,2980,5,low,0
5,8475,4,high,0
4,7886,6,high,0
2,4490,21,medium,0
5,8638,26,high,0
3,5151,19,medium,0
1,1073,14,low,0
5,8905,19,high,0
3,5784,26,medium,0
5,9259,15,high,0
5,9977,28,high,0
3,5800,25,medium,1
3,6415,23,medium,0
2,4617,12,medium,0
3,5514,20,medium,0
4,6738,4,medium,0
4,7150,22,high,0
4,8216,23,high,0
2,4865,21,medium,0
1,1106,15,low,0
